,0
Gyro_Magnitude_Energy_difference,730.9949841876879
Gyroscope_X_Energy_difference,422.5454057242489
Gyroscope_Z_Energy_difference,297.17128061013403
Gyroscope_Y_Energy_difference,284.42390740256315
Acc_Magnitude_Energy_difference,17.668487079400453
Accelerometer_Y_Energy_difference,9.081877582525129
Accelerometer_Z_Energy_difference,7.876786775479037
Accelerometer_X_Energy_difference,3.6683662189840347
Gyroscope_X_Range_difference,1.2728163244699942
Gyro_Magnitude_Max_difference,0.7883460152993181
Gyro_Magnitude_Range_difference,0.7867128785211562
Gyroscope_X_Max_difference,0.7743949233871293
Gyroscope_Y_Range_difference,0.7608391080286491
Gyroscope_X_Min_difference,0.7413128197070944
Gyroscope_Z_Range_difference,0.6480851141209537
Gyroscope_Z_Min_difference,0.6079603861263035
Gyroscope_Z_Max_difference,0.6012447857040899
Gyroscope_Y_Max_difference,0.555637686606668
Gyroscope_Y_Min_difference,0.5445197788662531
Accelerometer_Y_Range_difference,0.326095557516907
Acc_Magnitude_Max_difference,0.28559382069862227
Acc_Magnitude_Range_difference,0.28496488935174985
Accelerometer_Z_Range_difference,0.25539745551081805
Accelerometer_Y_Max_difference,0.22211362709760352
Accelerometer_Z_Min_difference,0.1892402720701257
Accelerometer_X_Range_difference,0.18193383393906012
Gyroscope_X_IQR_difference,0.17731775296257027
Gyro_Magnitude_RMS_difference,0.1770158207926541
Gyroscope_Z_IQR_difference,0.1697928151932739
Gyro_Magnitude_IQR_difference,0.16893423111055406
Gyroscope_Y_IQR_difference,0.1682971052840618
Gyroscope_X_RMS_difference,0.16007892593314604
Gyroscope_X_Std_difference,0.1598561178309385
Accelerometer_Y_Min_difference,0.14273268783467016
Gyro_Magnitude_Mean_difference,0.1375717317280635
Gyro_Magnitude_Median_difference,0.13477438992187274
Gyroscope_Y_RMS_difference,0.1266130394951899
Gyroscope_Y_Std_difference,0.1260988618929816
Accelerometer_X_Min_difference,0.12207199257646963
Accelerometer_X_Max_difference,0.12049355082436829
Gyroscope_Z_RMS_difference,0.11882533251094382
Gyroscope_Z_Std_difference,0.11870822187555659
Gyro_Magnitude_Std_difference,0.1185647947880612
Accelerometer_Z_Max_difference,0.09218014073747689
Gyroscope_Y_Mean_difference,0.09211047216147403
Gyroscope_Z_Mean_difference,0.08641322378811955
Gyroscope_Y_Median_difference,0.0669844862252762
Gyroscope_Z_Median_difference,0.05612566395590229
Gyroscope_X_Median_difference,0.03886855250546617
Gyroscope_X_Mean_difference,0.030580113760885562
Acc_Magnitude_RMS_difference,0.02956969596184566
Accelerometer_Y_IQR_difference,0.023380666159125006
Accelerometer_Y_Std_difference,0.0229701057662549
Accelerometer_Y_RMS_difference,0.022959234127949903
Acc_Magnitude_Std_difference,0.02165658995110521
Acc_Magnitude_Mean_difference,0.02143966303834071
Accelerometer_Z_IQR_difference,0.02125411209320779
Accelerometer_Z_Std_difference,0.019707554871170947
Accelerometer_Z_RMS_difference,0.019698452487570906
Acc_Magnitude_IQR_difference,0.018345022941288765
Acc_Magnitude_Median_difference,0.01825964062128197
Accelerometer_X_IQR_difference,0.014262293802608086
Accelerometer_X_Std_difference,0.013129600633496177
Accelerometer_X_RMS_difference,0.013122795833130337
Gyro_Magnitude_Min_difference,0.01224532005447572
Accelerometer_X_Median_difference,0.005905949544595641
Accelerometer_Y_Median_difference,0.004635162783202749
Accelerometer_Z_Median_difference,0.0044865172518148925
Acc_Magnitude_Min_difference,0.003501988560438896
Accelerometer_X_Mean_difference,0.0007510623125197587
Accelerometer_Y_Mean_difference,0.0007208046672826265
Accelerometer_Z_Mean_difference,0.0006853351310290219
